Student ID,First Name,Last Name,Age,Grade,Email
S1010,Idqrvwf,Rdzkwqjdc,11,7,EpORP10@school.com
S2551,Vjzgbcv,Arawnwvgwf,14,2,kDWma23@school.com
S2941,Mqatmgsj,Jilhphjbvh,15,11,jaiMh79@school.com
S4068,Htbz,Prwyd,15,3,jhBzD75@school.com
S9565,Qzaw,Yflyhagas,12,8,siJrv71@school.com
S8824,Nlul,Amrgg,18,12,VMCEA53@school.com
S6364,Afnt,Risluizt,17,10,MVJOX63@school.com
S3606,Pfqwnluu,Ddmrvhm,17,1,vlslb18@school.com
S1837,Zyatbevc,Nfwzyskh,13,5,WhtmH70@school.com
S2855,Mwgv,Zfeslhpsw,13,2,GgcwK33@school.com
